designation,ruwe,non_single_star,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
Gaia DR3 1310908754150989824,39.550392,2,10.756485,11.708607,9.790169
Gaia DR3 1305309456826990464,19.584963,3,8.422082,8.72105,7.948542
Gaia DR3 1317569286354121088,12.804659,3,9.075708,9.305085,8.686392
Gaia DR3 1326247181876478080,12.695518,3,0.433233,10.713046,9.985982
Gaia DR3 1312466487249342592,12.674682,3,9.841983,10.1561575,9.359175
Gaia DR3 1304531140033959680,12.189381,1,13.438807,14.196999,12.586707
Gaia DR3 1319178730859255296,11.7212305,3,11.589701,12.066738,10.949143
Gaia DR3 1303908713372634624,9.467188,2,12.736583,13.129076,12.16525
Gaia DR3 1301082654956051328,7.509813,3,10.86236,11.199754,10.357917
Gaia DR3 1318101346902484352,7.299593,2,,,
Gaia DR3 1312143845009421440,7.0134687,1,,,
Gaia DR3 1312646360479547648,6.8795953,3,9.845048,10.047061,9.495501
Gaia DR3 1327477775905690368,6.808717,1,,,
Gaia DR3 1305926214130392448,6.687307,1,,,
Gaia DR3 1300934671858992640,6.6610126,3,12.927618,13.615667,12.124617
Gaia DR3 1305649583876851840,6.557483,3,,,
Gaia DR3 1326724507362111360,5.9889674,1,12.812415,13.147593,12.308471
Gaia DR3 1305802690871231744,5.891184,3,,,
Gaia DR3 1327506535006618240,5.7858124,3,,,
Gaia DR3 1303407164271949824,5.6990085,1,13.455561,14.001244,12.753961
Gaia DR3 1304186782438479360,5.57832,3,,,
Gaia DR3 1305091680508059008,5.5321007,3,12.169967,12.49875,11.670984
Gaia DR3 1301061081336480640,5.470979,1,,,
Gaia DR3 1317366426458833920,5.4704065,1,,,
Gaia DR3 1311680473873965952,5.4525185,1,12.617961,13.109225,11.973669
Gaia DR3 1303415444968896640,5.4014974,3,,,
Gaia DR3 1325310191811183744,5.3565645,3,,,
Gaia DR3 1301301084109098624,5.2983494,3,,,
Gaia DR3 1305062307228841344,5.2595444,3,11.996795,12.358849,11.466181
Gaia DR3 1326823910084787968,5.240691,1,,,
Gaia DR3 1326708942400601728,5.0310416,1,,,
Gaia DR3 1324843449124945920,4.8594723,2,9.914573,10.246539,9.412999
Gaia DR3 1304426171032766592,4.6701927,2,,,
Gaia DR3 1304751312939863168,4.4154167,3,,,
Gaia DR3 1311938167615535360,4.240045,3,11.981007,12.337398,11.452812
Gaia DR3 1303425340573568128,4.234202,1,,,
Gaia DR3 1325150625186519552,4.2169614,1,,,
Gaia DR3 1319209753406868096,4.059721,1,12.412997,12.713927,11.94432
Gaia DR3 1325288064139608448,3.9953306,3,,,
Gaia DR3 1325174917521652352,3.9180148,1,,,
Gaia DR3 1311727890313008000,3.9111252,3,11.00036,11.303014,10.535497
Gaia DR3 1318050013453248384,3.8762553,1,,,
Gaia DR3 1301111280914484224,3.8708668,1,,,
Gaia DR3 1304131845513982848,3.735511,1,13.628531,14.20816,12.9032135
Gaia DR3 1303842467797029120,3.6540234,1,,,
Gaia DR3 1318233150858872064,3.6066492,3,,,
Gaia DR3 1305955763505448320,3.5827057,3,10.89037,11.212321,10.400139
Gaia DR3 1325569298598561152,3.429298,1,,,
Gaia DR3 1312578568715676544,3.388184,1,,,
Gaia DR3 1305131439022461312,3.3365855,3,,,
Gaia DR3 1303408744819916800,3.2692199,1,12.479852,12.840521,11.959376
Gaia DR3 1304286223818251776,3.2477582,3,,,
Gaia DR3 1304709879391959552,3.210113,1,,,
Gaia DR3 1304788563191924736,3.1430647,1,,,
Gaia DR3 1306036715049151744,3.1005228,1,12.986544,13.3609495,12.449039
Gaia DR3 1305711706283833088,3.088111,1,,,
Gaia DR3 1301423507856384640,3.0531814,1,,,
Gaia DR3 1303876793175551360,3.0506163,3,12.5759945,13.106135,11.893465
Gaia DR3 1326816179144182016,2.9533045,3,,,
Gaia DR3 1319153270292930304,2.9425411,3,,,
Gaia DR3 1305117282810400256,2.8613524,1,12.710426,13.021344,12.239471
Gaia DR3 1305488024386766208,2.8560903,3,,,
Gaia DR3 1312526273193833984,2.8285308,3,,,
Gaia DR3 1310683663505555968,2.7944138,1,,,
Gaia DR3 1304644454154662784,2.726105,1,12.260592,12.799706,11.562025
Gaia DR3 1318110830190386048,2.6791027,3,,,
Gaia DR3 1326192240655327616,2.6716166,3,,,
Gaia DR3 1301479101913072000,2.6714616,3,12.441996,12.97868,11.758972
Gaia DR3 1319152102061837312,2.6333745,2,12.666579,13.009194,12.162623
Gaia DR3 1305912951271401600,2.6292584,1,,,
Gaia DR3 1301428902335378560,2.6125355,3,,,
Gaia DR3 1305195451215297280,2.564728,2,,,
Gaia DR3 1305506853523448832,2.5273194,1,,,
Gaia DR3 1326341396278698240,2.52016,3,,,
Gaia DR3 1305938308758405120,2.5182607,1,,,
Gaia DR3 1303832159876115456,2.506011,3,,,
Gaia DR3 1317868246141204736,2.4537842,1,,,
Gaia DR3 1311893156358261120,2.4373937,1,11.50213,11.825315,11.014447
Gaia DR3 1326400426309264256,2.4228709,2,,,
Gaia DR3 1310847971773538176,2.38075,1,,,
Gaia DR3 1324758168254920832,2.3596125,3,12.914634,13.885623,11.9389105
Gaia DR3 1303275738272579712,2.3578155,3,,,
Gaia DR3 1319153923127964160,2.348206,1,,,
Gaia DR3 1325100322529589888,2.3472028,1,,,
Gaia DR3 1312621484028969344,2.3363683,1,13.0831175,13.504582,12.494365
Gaia DR3 1303509212695011072,2.31683,1,,,
Gaia DR3 1303436954165155712,2.3125,1,,,
Gaia DR3 1304757879946584320,2.1935844,1,,,
Gaia DR3 1301426875110725760,2.1900423,1,13.210503,13.6712,12.589065
Gaia DR3 1305633263000912256,2.1810284,3,,,
Gaia DR3 1305533722838911232,2.1729984,1,,,
Gaia DR3 1311066843307196416,2.1361032,1,,,
Gaia DR3 1317949786096763904,2.1348596,3,11.365025,11.817065,10.748606
Gaia DR3 1319202988834379648,2.091252,1,,,
Gaia DR3 1317907484962407936,2.0574543,1,,,
Gaia DR3 1311960467085744128,2.0358067,3,,,
Gaia DR3 1304080890021729280,2.0180686,2,11.355202,11.690336,10.85366
Gaia DR3 1304645798479881728,2.0045283,2,,,
Gaia DR3 1303690219796332160,1.9681563,1,,,
Gaia DR3 1303911496511454976,1.9020418,1,,,
Gaia DR3 1304466371926898944,1.8882631,1,,,
Gaia DR3 1301426668952290560,1.8864645,3,12.376555,12.855879,11.735884
Gaia DR3 1303490486637569536,1.8448095,1,,,
Gaia DR3 1304298593324116480,1.8374283,1,,,
Gaia DR3 1303409118479924864,1.7994783,1,,,
Gaia DR3 1303467465612758784,1.7963195,1,,,
Gaia DR3 1325285689021879424,1.7469532,2,12.397782,12.952739,11.696171
Gaia DR3 1301474085391274240,1.726657,1,,,
Gaia DR3 1305897523749299712,1.6499256,1,,,
Gaia DR3 1304414866678979200,1.6322805,1,,,
Gaia DR3 1310983520941612928,1.6259168,1,,,
Gaia DR3 1304028968161111424,1.604563,1,,,
Gaia DR3 1303844078407910016,1.58607,1,11.935251,12.551751,11.189903
Gaia DR3 1312314995163371648,1.508533,1,,,
Gaia DR3 1317941161802524928,1.4922268,3,,,
Gaia DR3 1301268541140126592,1.4791099,1,,,
Gaia DR3 1304246538320430592,1.4748633,2,11.323335,11.629004,10.844746
Gaia DR3 1326614384400411008,1.4488097,2,,,
Gaia DR3 1305000356620687488,1.4470938,2,,,
Gaia DR3 1300870247349587200,1.4458125,3,,,
Gaia DR3 1305711878082288000,1.4312317,2,,,
Gaia DR3 1303371705021797248,1.4191389,2,,,
Gaia DR3 1311730536012868096,1.4084269,1,,,
Gaia DR3 1305883092659120768,1.4037943,1,13.217156,13.765084,12.521998
Gaia DR3 1304321369533859584,1.3872725,2,,,
Gaia DR3 1312684671587761664,1.3787962,2,,,
Gaia DR3 1310867522464786176,1.3561914,2,,,
Gaia DR3 1326392076892804224,1.3150138,2,,,
Gaia DR3 1301071423617768448,1.2933421,2,,,
Gaia DR3 1312369558427811712,1.2915361,2,12.731486,13.335075,11.991035
Gaia DR3 1304129921368534784,1.2802731,2,,,
Gaia DR3 1303410394087365504,1.2410752,2,,,
Gaia DR3 1304884117625432576,1.2355307,2,,,
Gaia DR3 1311757267889447680,1.1783023,2,11.392321,11.901259,10.731076
Gaia DR3 1311077116869122560,1.1708982,2,,,
Gaia DR3 1302563495256280576,1.1562743,2,,,
Gaia DR3 1329183358958814208,1.1514915,2,,,
Gaia DR3 1317492148741358464,1.1392764,2,11.508897,12.093836,10.78774
Gaia DR3 1305239740917742976,1.1376715,2,,,
Gaia DR3 1305808222789094144,1.1372255,2,,,
Gaia DR3 1325548236078821376,1.1360487,2,,,
Gaia DR3 1310869034293288832,1.1339585,2,12.5020685,13.117296,11.752994
Gaia DR3 1300879142224689664,1.130976,2,,,
Gaia DR3 1325348743437253760,1.1300257,2,,,
Gaia DR3 1305751357421836416,1.128253,2,,,
Gaia DR3 1303975543064254208,1.1115007,2,9.628305,10.238411,8.882991
Gaia DR3 1326443788299181696,1.0851862,2,,,
Gaia DR3 1304450738245737728,1.0681179,2,,,
Gaia DR3 1324341930087266176,1.0646893,2,,,
Gaia DR3 1318162301078272128,1.0636889,2,,,
Gaia DR3 1301281739576258944,1.0466183,2,,,
Gaia DR3 1325534213008912896,1.0294539,2,,,
Gaia DR3 1325935161092278016,1.0227811,2,,,
Gaia DR3 1304018836334559232,1.0110172,2,,,
Gaia DR3 1304162391321185280,0.9620178,2,,,
Gaia DR3 1305651233144126080,0.9532087,2,,,
Gaia DR3 1326006526268921472,0.88283,2,,,